
python3 dots_array.py -M 3 -N 3 --vmin 0 --vmax 2 --vstep 0.01 --vr 0 --vg-avg 0 --vg-std 0 --c-avg 1 --c-std 0.4 --cg-avg 10 --cg-std 0 --r-avg 10 --r-std 6 --rg-avg 1000 --rg-std 0 --repeats 20 --n-avg 0 --n-std 0 --q-avg 0 --q-std 0 -T 0 --distribution exp --custom-rh "" --custom-rv "" --custom-ch "" --custom-cv "" --file-name c_std_0.4_r_std_6_run_3 -o 3X3_array_statistics_r_avg_10     --symmetric-v

Saving array parameters
Normal prototype array was created
Starting parallel run
Saving results
         106966 function calls (104045 primitive calls) in 866.720 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.014    0.002 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axis.py:1388(get_major_ticks)
       20    0.000    0.000    0.014    0.001 dots_array.py:1497(removeState)
     10/4    0.000    0.000    0.013    0.003 <frozen importlib._bootstrap>:978(_find_and_load)
     10/4    0.000    0.000    0.013    0.003 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
        8    0.000    0.000    0.013    0.002 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axis.py:1114(_get_tick_bboxes)
       60    0.000    0.000    0.013    0.000 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/text.py:892(get_window_extent)
       42    0.001    0.000    0.013    0.000 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/lines.py:721(draw)
       13    0.000    0.000    0.012    0.001 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axis.py:2189(_get_tick)
      9/4    0.000    0.000    0.012    0.003 <frozen importlib._bootstrap>:663(_load_unlocked)
        1    0.011    0.011    0.011    0.011 {built-in method matplotlib._png.write_png}
      7/4    0.000    0.000    0.011    0.003 <frozen importlib._bootstrap_external>:722(exec_module)
        1    0.000    0.000    0.011    0.011 dots_array.py:195(__init__)
      6/4    0.000    0.000    0.010    0.002 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axis.py:666(__get__)
       12    0.000    0.000    0.009    0.001 /usr/local/anaconda3/lib/python3.7/site-packages/numpy/lib/format.py:290(_write_array_header)
       90    0.001    0.000    0.009    0.000 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/text.py:280(_get_layout)
        8    0.000    0.000    0.009    0.001 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axis.py:840(set_tick_params)
       12    0.000    0.000    0.009    0.001 /usr/local/anaconda3/lib/python3.7/site-packages/numpy/lib/format.py:439(_filter_header)
        2    0.000    0.000    0.009    0.004 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axes/_base.py:2725(grid)
     13/4    0.000    0.000    0.009    0.002 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      7/4    0.000    0.000    0.009    0.002 {built-in method builtins.exec}
        4    0.000    0.000    0.009    0.002 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axis.py:1418(grid)
        8    0.000    0.000    0.009    0.001 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/ticker.py:1983(__call__)
        8    0.000    0.000    0.009    0.001 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/ticker.py:1987(tick_values)
       44    0.001    0.000    0.008    0.000 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/text.py:694(draw)
        8    0.000    0.000    0.008    0.001 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/ticker.py:1923(_raw_ticks)
      233    0.000    0.000    0.008    0.000 /usr/local/anaconda3/lib/python3.7/multiprocessing/popen_fork.py:25(poll)
      222    0.008    0.000    0.008    0.000 {built-in method posix.waitpid}
        3    0.000    0.000    0.008    0.003 /usr/local/anaconda3/lib/python3.7/multiprocessing/process.py:133(join)
      249    0.001    0.000    0.007    0.000 /usr/local/anaconda3/lib/python3.7/tokenize.py:487(_tokenize)
        3    0.000    0.000    0.007    0.002 /usr/local/anaconda3/lib/python3.7/multiprocessing/popen_fork.py:41(wait)
        1    0.000    0.000    0.007    0.007 dots_array.py:366(createCapacitanceMatrix)
        1    0.000    0.000    0.007    0.007 /usr/local/anaconda3/lib/python3.7/multiprocessing/pool.py:272(_setup_queues)
        2    0.000    0.000    0.007    0.004 /usr/local/anaconda3/lib/python3.7/multiprocessing/context.py:109(SimpleQueue)
        6    0.007    0.001    0.007    0.001 /usr/local/anaconda3/lib/python3.7/site-packages/numpy/linalg/linalg.py:468(inv)
        1    0.000    0.000    0.006    0.006 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/__init__.py:1732(inner)
        1    0.000    0.000    0.006    0.006 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axes/_axes.py:1376(plot)
        2    0.000    0.000    0.006    0.003 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axis.py:1924(_update_label_position)
        1    0.000    0.000    0.006    0.006 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axes/_base.py:588(_init_axis)
       30    0.000    0.000    0.006    0.000 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:197(get_text_width_height_descent)
       65    0.001    0.000    0.006    0.000 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/lines.py:637(recache)
       16    0.000    0.000    0.006    0.000 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axis.py:766(_set_scale)
      501    0.001    0.000    0.005    0.000 /usr/local/anaconda3/lib/python3.7/re.py:271(_compile)
      225    0.000    0.000    0.005    0.000 /usr/local/anaconda3/lib/python3.7/tokenize.py:147(_compile)
