Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.463    0.463 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backend_bases.py:3244(new_figure_manager)
        1    0.000    0.000    0.462    0.462 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\_backend_tk.py:944(new_figure_manager_given_figure)
2274181/2273921    0.412    0.000    0.412    0.000 {built-in method builtins.len}
  101/100    0.340    0.003    0.350    0.004 {method 'call' of '_tkinter.tkapp' objects}
        1    0.000    0.000    0.311    0.311 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\backend_agg.py:382(draw)
      172    0.001    0.000    0.305    0.002 <__array_function__ internals>:2(save)
      172    0.003    0.000    0.303    0.002 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\lib\npyio.py:473(save)
    105/1    0.001    0.000    0.284    0.284 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\artist.py:30(draw_wrapper)
        1    0.000    0.000    0.284    0.284 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\figure.py:1661(draw)
      2/1    0.000    0.000    0.282    0.282 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\image.py:117(_draw_list_compositing_images)
        1    0.000    0.000    0.282    0.282 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axes\_base.py:2573(draw)
        2    0.000    0.000    0.275    0.137 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:1195(draw)
  1132810    0.268    0.000    0.268    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\lib\shape_base.py:778(_split_dispatcher)
