Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.872    0.218 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:1149(<listcomp>)
       45    0.003    0.000    0.864    0.019 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\text.py:270(_get_layout)
       30    0.001    0.000    0.851    0.028 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\backend_agg.py:193(get_text_width_height_descent)
       45    0.001    0.000    0.748    0.017 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\backend_agg.py:241(_get_agg_font)
      172    0.001    0.000    0.702    0.004 <__array_function__ internals>:2(save)
      172    0.003    0.000    0.700    0.004 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\lib\npyio.py:473(save)
       45    0.673    0.015    0.673    0.015 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\font_manager.py:1338(get_font)
       40    0.001    0.000    0.602    0.015 C:/Users/shahar/Research/RC_SET/dots_array.py:840(saveState)
        9    0.000    0.000    0.556    0.062 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:3540(__init__)
        9    0.000    0.000    0.555    0.062 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:3484(__init__)
      223    0.000    0.000    0.409    0.002 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      3/1    0.000    0.000    0.408    0.408 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.408    0.408 {built-in method builtins.__import__}
        1    0.000    0.000    0.408    0.408 <frozen importlib._bootstrap>:978(_find_and_load)
        1    0.000    0.000    0.408    0.408 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
        1    0.000    0.000    0.407    0.407 <frozen importlib._bootstrap>:663(_load_unlocked)
        1    0.000    0.000    0.407    0.407 <frozen importlib._bootstrap>:576(module_from_spec)
        1    0.000    0.000    0.407    0.407 <frozen importlib._bootstrap_external>:1040(create_module)
        1    0.407    0.407    0.407    0.407 {built-in method _imp.create_dynamic}
   387540    0.397    0.000    0.397    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\fromnumeric.py:74(<dictcomp>)
        1    0.000    0.000    0.379    0.379 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\pyplot.py:2791(plot)
      172    0.371    0.002    0.371    0.002 {method 'close' of '_io.BufferedWriter' objects}
   736207    0.366    0.000    0.366    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.343    0.343 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\_backend_tk.py:490(__init__)
        1    0.000    0.000    0.342    0.342 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\_backend_tk.py:515(_get_toolbar)
        1    0.000    0.000    0.342    0.342 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\_backend_tk.py:588(__init__)
        1    0.000    0.000    0.342    0.342 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backend_bases.py:2616(__init__)
        1    0.000    0.000    0.342    0.342 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\_backend_tk.py:637(_init_toolbar)
        7    0.000    0.000    0.339    0.048 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\_backend_tk.py:620(_Button)
        1    0.000    0.000    0.314    0.314 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\_backend_tk.py:195(__init__)
        1    0.000    0.000    0.304    0.304 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\pyplot.py:908(gca)
        1    0.000    0.000    0.304    0.304 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\figure.py:1888(gca)
        1    0.000    0.000    0.304    0.304 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\figure.py:1261(add_subplot)
        1    0.000    0.000    0.303    0.303 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axes\_subplots.py:18(__init__)
       12    0.000    0.000    0.249    0.021 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:2286(__init__)
   397594    0.245    0.000    0.247    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.209    0.209 C:/Users/shahar/Research/RC_SET/dots_array.py:195(__init__)
        2    0.000    0.000    0.194    0.097 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\backend_agg.py:393(get_renderer)
        1    0.193    0.193    0.194    0.194 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\backend_agg.py:80(__init__)
       15    0.000    0.000    0.183    0.012 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:289(draw)
        1    0.000    0.000    0.181    0.181 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:2395(__init__)
        1    0.000    0.000    0.177    0.177 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axes\_subplots.py:122(update_params)
        1    0.000    0.000    0.177    0.177 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\gridspec.py:486(get_position)
      173    0.169    0.001    0.169    0.001 {built-in method io.open}
        1    0.000    0.000    0.162    0.162 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\pyplot.py:654(close)
        1    0.000    0.000    0.162    0.162 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\_pylab_helpers.py:58(destroy_fig)
        1    0.000    0.000    0.162    0.162 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\_pylab_helpers.py:41(destroy)
        1    0.000    0.000    0.162    0.162 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\_backend_tk.py:556(destroy)
        1    0.000    0.000    0.162    0.162 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:2058(destroy)
     12/2    0.000    0.000    0.160    0.080 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:2302(destroy)
      172    0.002    0.000    0.156    0.001 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\lib\format.py:606(write_array)
       37    0.002    0.000    0.153    0.004 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\text.py:655(draw)
       13    0.000    0.000    0.152    0.012 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:1700(__call__)
       13    0.000    0.000    0.151    0.012 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:1388(_substitute)
      170    0.150    0.001    0.150    0.001 {method 'getint' of '_tkinter.tkapp' objects}
       15    0.001    0.000    0.147    0.010 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\backends\backend_agg.py:164(draw_text)
       15    0.139    0.009    0.139    0.009 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
        4    0.001    0.000    0.138    0.035 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:1074(_update_ticks)
        1    0.135    0.135    0.135    0.135 {built-in method matplotlib._png.write_png}
