
python3 dots_array.py -M 3 -N 3 --vmin 0 --vmax 2 --vstep 0.01 --vr 0 --vg-avg 0 --vg-std 0 --c-avg 1 --c-std 0.4 --cg-avg 10 --cg-std 0 --r-avg 10 --r-std 5 --rg-avg 1000 --rg-std 0 --repeats 20 --n-avg 0 --n-std 0 --q-avg 0 --q-std 0 -T 0 --distribution exp --custom-rh "" --custom-rv "" --custom-ch "" --custom-cv "" --file-name c_std_0.4_r_std_5_run_10 -o 3X3_array_statistics_r_avg_10     --symmetric-v

Saving array parameters
Normal prototype array was created
Starting parallel run
Saving results
         106973 function calls (104052 primitive calls) in 871.308 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  871.284  871.284 dots_array.py:1362(runFullSimulation)
       23    0.000    0.000  870.915   37.866 /usr/local/anaconda3/lib/python3.7/threading.py:534(wait)
        5    0.000    0.000  870.915  174.183 /usr/local/anaconda3/lib/python3.7/threading.py:264(wait)
       23  870.915   37.866  870.915   37.866 {method 'acquire' of '_thread.lock' objects}
       20    0.000    0.000  870.914   43.546 /usr/local/anaconda3/lib/python3.7/multiprocessing/pool.py:676(get)
       20    0.000    0.000  870.914   43.546 /usr/local/anaconda3/lib/python3.7/multiprocessing/pool.py:673(wait)
        1    0.000    0.000    0.209    0.209 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/pyplot.py:686(savefig)
        1    0.000    0.000    0.173    0.173 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/figure.py:1970(savefig)
        1    0.000    0.000    0.173    0.173 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/backend_bases.py:1950(print_figure)
        1    0.000    0.000    0.172    0.172 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:468(print_png)
      621    0.000    0.000    0.117    0.000 {built-in method builtins.next}
      264    0.000    0.000    0.116    0.000 /usr/local/anaconda3/lib/python3.7/contextlib.py:116(__exit__)
        2    0.114    0.057    0.114    0.057 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/cbook/__init__.py:404(open_file_cm)
        2    0.000    0.000    0.082    0.041 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:392(draw)
    144/2    0.001    0.000    0.080    0.040 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/artist.py:42(draw_wrapper)
        2    0.000    0.000    0.080    0.040 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/figure.py:1615(draw)
      4/2    0.000    0.000    0.079    0.039 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/image.py:120(_draw_list_compositing_images)
        2    0.000    0.000    0.079    0.039 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axes/_base.py:2556(draw)
        4    0.000    0.000    0.071    0.018 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axis.py:1177(draw)
        1    0.000    0.000    0.055    0.055 /usr/local/anaconda3/lib/python3.7/multiprocessing/context.py:114(Pool)
        1    0.000    0.000    0.050    0.050 /usr/local/anaconda3/lib/python3.7/multiprocessing/pool.py:156(__init__)
        1    0.000    0.000    0.042    0.042 /usr/local/anaconda3/lib/python3.7/multiprocessing/pool.py:231(_repopulate_pool)
        1    0.001    0.001    0.042    0.042 /usr/local/anaconda3/lib/python3.7/multiprocessing/pool.py:240(_repopulate_pool_static)
       12    0.000    0.000    0.040    0.003 /usr/local/anaconda3/lib/python3.7/site-packages/numpy/lib/npyio.py:449(save)
       20    0.001    0.000    0.040    0.002 /usr/local/anaconda3/lib/python3.7/multiprocessing/process.py:101(start)
       20    0.001    0.000    0.038    0.002 /usr/local/anaconda3/lib/python3.7/multiprocessing/context.py:274(_Popen)
        1    0.000    0.000    0.036    0.036 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/backend_bases.py:1893(draw_idle)
       20    0.000    0.000    0.036    0.002 /usr/local/anaconda3/lib/python3.7/multiprocessing/popen_fork.py:16(__init__)
       12    0.000    0.000    0.035    0.003 /usr/local/anaconda3/lib/python3.7/site-packages/numpy/lib/format.py:534(write_array)
       20    0.001    0.000    0.035    0.002 /usr/local/anaconda3/lib/python3.7/multiprocessing/popen_fork.py:67(_launch)
        1    0.000    0.000    0.034    0.034 dots_array.py:1323(saveRandomParams)
       20    0.030    0.001    0.033    0.002 {built-in method posix.fork}
        8    0.000    0.000    0.033    0.004 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axis.py:1015(_update_ticks)
        1    0.000    0.000    0.033    0.033 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/pyplot.py:2809(plot)
       29    0.001    0.000    0.030    0.001 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axis.py:72(__init__)
       84    0.000    0.000    0.028    0.000 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axis.py:963(iter_ticks)
        1    0.000    0.000    0.027    0.027 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/pyplot.py:917(gca)
        1    0.000    0.000    0.027    0.027 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/figure.py:1820(gca)
        1    0.000    0.000    0.027    0.027 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/figure.py:1216(add_subplot)
        1    0.000    0.000    0.027    0.027 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axes/_subplots.py:18(__init__)
