
python3 dots_array.py -M 3 -N 3 --vmin 0 --vmax 2 --vstep 0.01 --vr 0 --vg-avg 0 --vg-std 0 --c-avg 1 --c-std 0.4 --cg-avg 10 --cg-std 0 --r-avg 10 --r-std 4 --rg-avg 1000 --rg-std 0 --repeats 20 --n-avg 0 --n-std 0 --q-avg 0 --q-std 0 -T 0 --distribution exp --custom-rh "" --custom-rv "" --custom-ch "" --custom-cv "" --file-name c_std_0.4_r_std_4_run_3 -o 3X3_array_statistics_r_avg_10     --symmetric-v

Saving array parameters
Normal prototype array was created
Starting parallel run
Saving results
         115707 function calls (112594 primitive calls) in 846.452 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  846.399  846.399 dots_array.py:1362(runFullSimulation)
       23    0.000    0.000  846.110   36.787 /usr/local/anaconda3/lib/python3.7/threading.py:534(wait)
        6    0.000    0.000  846.110  141.018 /usr/local/anaconda3/lib/python3.7/threading.py:264(wait)
       27  846.110   31.337  846.110   31.337 {method 'acquire' of '_thread.lock' objects}
       20    0.000    0.000  846.109   42.305 /usr/local/anaconda3/lib/python3.7/multiprocessing/pool.py:676(get)
       20    0.000    0.000  846.109   42.305 /usr/local/anaconda3/lib/python3.7/multiprocessing/pool.py:673(wait)
        1    0.000    0.000    0.094    0.094 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/pyplot.py:686(savefig)
        1    0.000    0.000    0.088    0.088 /usr/local/anaconda3/lib/python3.7/multiprocessing/context.py:114(Pool)
        1    0.000    0.000    0.083    0.083 /usr/local/anaconda3/lib/python3.7/multiprocessing/pool.py:156(__init__)
        2    0.000    0.000    0.080    0.040 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:392(draw)
    162/2    0.001    0.000    0.079    0.039 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/artist.py:42(draw_wrapper)
        2    0.000    0.000    0.079    0.039 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/figure.py:1615(draw)
      4/2    0.000    0.000    0.077    0.039 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/image.py:120(_draw_list_compositing_images)
        2    0.000    0.000    0.077    0.039 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axes/_base.py:2556(draw)
        1    0.000    0.000    0.074    0.074 /usr/local/anaconda3/lib/python3.7/multiprocessing/pool.py:231(_repopulate_pool)
        1    0.001    0.001    0.074    0.074 /usr/local/anaconda3/lib/python3.7/multiprocessing/pool.py:240(_repopulate_pool_static)
       20    0.001    0.000    0.071    0.004 /usr/local/anaconda3/lib/python3.7/multiprocessing/process.py:101(start)
        4    0.000    0.000    0.070    0.018 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axis.py:1177(draw)
       20    0.001    0.000    0.069    0.003 /usr/local/anaconda3/lib/python3.7/multiprocessing/context.py:274(_Popen)
        1    0.000    0.000    0.069    0.069 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/figure.py:1970(savefig)
        1    0.000    0.000    0.069    0.069 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/backend_bases.py:1950(print_figure)
        1    0.000    0.000    0.068    0.068 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:468(print_png)
       20    0.000    0.000    0.067    0.003 /usr/local/anaconda3/lib/python3.7/multiprocessing/popen_fork.py:16(__init__)
       20    0.001    0.000    0.066    0.003 /usr/local/anaconda3/lib/python3.7/multiprocessing/popen_fork.py:67(_launch)
       20    0.060    0.003    0.064    0.003 {built-in method posix.fork}
       21    0.000    0.000    0.053    0.003 /usr/local/anaconda3/lib/python3.7/multiprocessing/util.py:170(__call__)
        1    0.000    0.000    0.053    0.053 /usr/local/anaconda3/lib/python3.7/multiprocessing/pool.py:597(_terminate_pool)
        1    0.000    0.000    0.048    0.048 /usr/local/anaconda3/lib/python3.7/multiprocessing/pool.py:588(_help_stuff_finish)
        1    0.048    0.048    0.048    0.048 {method 'acquire' of '_multiprocessing.SemLock' objects}
       12    0.000    0.000    0.041    0.003 /usr/local/anaconda3/lib/python3.7/site-packages/numpy/lib/npyio.py:449(save)
       12    0.000    0.000    0.037    0.003 /usr/local/anaconda3/lib/python3.7/site-packages/numpy/lib/format.py:534(write_array)
        1    0.000    0.000    0.034    0.034 dots_array.py:1323(saveRandomParams)
        1    0.000    0.000    0.033    0.033 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/pyplot.py:2809(plot)
        8    0.000    0.000    0.031    0.004 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axis.py:1015(_update_ticks)
       32    0.001    0.000    0.030    0.001 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axis.py:72(__init__)
       96    0.000    0.000    0.027    0.000 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axis.py:963(iter_ticks)
        1    0.000    0.000    0.027    0.027 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/pyplot.py:917(gca)
        1    0.000    0.000    0.027    0.027 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/figure.py:1820(gca)
        1    0.000    0.000    0.027    0.027 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/figure.py:1216(add_subplot)
        1    0.000    0.000    0.027    0.027 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axes/_subplots.py:18(__init__)
        1    0.000    0.000    0.026    0.026 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axes/_base.py:417(__init__)
        1    0.000    0.000    0.025    0.025 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/backend_bases.py:1893(draw_idle)
       36    0.000    0.000    0.022    0.001 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axis.py:289(draw)
       12    0.018    0.002    0.018    0.002 {method 'tofile' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.018    0.001 /usr/local/anaconda3/lib/python3.7/site-packages/numpy/lib/format.py:290(_write_array_header)
      102    0.002    0.000    0.017    0.000 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/lines.py:277(__init__)
       12    0.000    0.000    0.017    0.001 /usr/local/anaconda3/lib/python3.7/site-packages/numpy/lib/format.py:439(_filter_header)
        8    0.000    0.000    0.016    0.002 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axis.py:1388(get_major_ticks)
       89    0.016    0.000    0.016    0.000 {built-in method posix.remove}
       16    0.000    0.000    0.016    0.001 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axis.py:1813(_get_tick)
        1    0.000    0.000    0.016    0.016 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axes/_base.py:963(cla)
      249    0.001    0.000    0.016    0.000 /usr/local/anaconda3/lib/python3.7/tokenize.py:487(_tokenize)
       48    0.001    0.000    0.016    0.000 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/lines.py:721(draw)
        8    0.000    0.000    0.014    0.002 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axis.py:1114(_get_tick_bboxes)
       16    0.000    0.000    0.014    0.001 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axis.py:2189(_get_tick)
       72    0.001    0.000    0.014    0.000 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/text.py:892(get_window_extent)
